,No.,Is retweet?,Tweet ID,Post Date,User Display Name,User ID,User Info,User Location,Tweet Content,Number of Quotes,Number of Replies,Number of Likes,Number of Retweets,Raw link 1,Solved link 1,Raw link 2,Solved link 2,Raw link 3,Solved link 3,Raw link 4,Solved link 4,Raw link 5,Solved link 5,proccessed_tweet
10,11,Yes,1281259974849523715,Thu Jul 09 16:12:37 +0000 2020,Karteh,KandorKarteh,"Married above my station, Life long liberal dem. Peace Corps-Sierra Leone, ACLU, NAACP. BLM ally, #BidenHarris #theResistance, Love HRC+44. Fuck tRump","San Diego, California","Covid snapshot: 5 states have single day record of infections, MO, TN, TX, UT, WV; 72% increase nationally over last two weeks; 24 states had more cases last week than any week since beginning of pandemic—and Donald Trump is threatening schools that don't fully re-open.",0,0,0,0,,,,,,,,,,,"covid snapshot: 5 states have single day record of infections, mo, tn, tx, ut, wv; 72% increase nationally over last two weeks; 24 states had more cases last week than any week since beginning of pandemicand donald trump is threatening schools that don't fully re-open."
11,12,No,1281259986488786945,Thu Jul 09 16:12:40 +0000 2020,South Florida Sun Sentinel,SunSentinel,"The official Sun Sentinel Twitter account. Covering Broward, Palm Beach and Miami-Dade. Winner of the 2019 Pulitzer Prize Gold Medal For Public Service.",South Florida,Zendaya and John David Washington secretly shot an entire movie during coronavirus shutdown https://t.co/317lFPBTVz https://t.co/M8an57jbek,0,0,0,0,https://t.co/317lFPBTVz,https://bit.ly/3eeiUNM,,,,,,,,,zendaya and john david washington secretly shot an entire movie during coronavirus shutdown
12,13,Yes,1281259991631003648,Thu Jul 09 16:12:41 +0000 2020,LAYDI 🧚🏽‍♂️,trapmomlaydi,"#571 | #770 | #917 🖍 what’s perceived isn’t always what is | poet turned (t)rapper | be you, your clone is boring | follow my other self on IG @trapmomlaydi",,"Farrakhan told Black ppl DO NOT take their Covid medications &amp; vaccines.. we need to call on the medical professionals within our community to examine what they want to give us &amp; give ourselves something better “Bill Gates wants to depopulate the earth”

https://t.co/HvPhgLrLiX",0,0,0,0,,,,,,,,,,,farrakhan told black ppl do not take their covid medications &amp; vaccines we need to call on the medical professionals within our community to examine what they want to give us &amp; give ourselves something better bill gates wants to depopulate the eah
13,14,Yes,1281259999503831041,Thu Jul 09 16:12:43 +0000 2020,SurrealSage,SurrealSage,#Patriot #TruthFreedomHealth #NatrualLaw #Empowerment #Wellness #TheGreatAwakening #Stop5G #GovernmentIsSlavery #SaveTheChildren #ObamaGate #FullDisclosure,"Detroit, MI","The company that knew asbestos in their baby powder for decades caused cancer, is now producing a covid-19 vaccine.
Johnson &amp; Johnson have been convicted of lying multiple times about the safety of their products. https://t.co/Boi204UFQq",0,0,0,0,,,,,,,,,,,"the company that knew asbestos in their baby powder for decades caused cancer, is now producing a covid-19 vaccines johnson &amp; johnson have been convicted of lying multiple times about the safety of their products."
14,15,Yes,1281260006843707394,Thu Jul 09 16:12:44 +0000 2020,F̶L̶O̶S̶S̶Y̶,FlossyTheBarber,I’m your barber’s favorite barber 💈 ✂️ IG: FlossyJ,Ⓕⓛⓞⓢⓢ Ⓐⓝⓖⓔⓛⓔⓢ,"Black people are COMPLETELY ignored by the white powers in control, when we ask for:
*reparations
*decent employment
*decent education
*decent housing
*no police killings

But the dominant society is putting unlimited resources into offering COVID vaccine testing to Black people https://t.co/qUiDdqIIeg",0,0,0,0,,,,,,,,,,,"black people are completely ignored by the white powers in control, when we ask for: *reparations *decent employment *decent education *decent housing *no police killings but the dominant society is putting unlimited resources into offering covid vaccines testing to black people"
15,16,No,1281260007078727683,Thu Jul 09 16:12:45 +0000 2020,Air Mshl R Kalim,AirMshlRkalim,"Vice Chief of the Air Staff - Pakistan Air Force. A career spanning 35 years of serving this country in uniform, and I still continue to serve!",,Chinese coronavirus vaccine approved by its military for use within ranks  https://t.co/6pZzjRkZcN,0,0,0,0,https://t.co/6pZzjRkZcN,https://www.thenews.com.pk/latest/679547-chinese-coronavirus-vaccine-approved-by-its-military-for-use,,,,,,,,,chinese coronavirus vaccines approved by its military for use within ranks
16,17,Yes,1281260015878377472,Thu Jul 09 16:12:47 +0000 2020,Tiffany,TheChicTiff,I like large parties. They’re so intimate. At small parties there isn’t any privacy.,Atlanta,Folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.,0,0,0,0,,,,,,,,,,,folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.
17,18,Yes,1281260016054546433,Thu Jul 09 16:12:47 +0000 2020,Craig Lasker,tcraig57,"Retired air traffic controller, father to 4, gfather to 5. Browns & Tribe. #prolife #KAG #2A #1A #LDS #BackTheBlue","Fernandina Beach, FL",BILL FUCKING GATES AGAIN!Novavax starts Phase 1 coronavirus vaccine trial after $388M from Bill Gates-backed group | Fox Business https://t.co/KB1NByoHi0,0,0,0,0,,,,,,,,,,,bill fucking gates again!novavax stas phase 1 coronavirus vaccines trial after $388m from bill gates-backed group | fox business
18,19,No,1281260019506438144,Thu Jul 09 16:12:47 +0000 2020,Mary Ellen Hoy,mehoy412,,,Huge drop in Michigan vaccinations scares experts during coronavirus | Bridge Magazine https://t.co/8hVQqHUZBg,0,0,0,0,https://t.co/8hVQqHUZBg,https://www.bridgemi.com/michigan-health-watch/huge-drop-michigan-vaccinations-scares-experts-during-coronavirus,,,,,,,,,huge drop in michigan vaccines scares expes during coronavirus | bridge magazine
19,20,No,1281260022823915520,Thu Jul 09 16:12:48 +0000 2020,Atharva Ballal,atharva_ballal,ICE undergrad. Avid Chelsea fan💙                                               Use social media wisely!,,"The biggest problem in India right now is not corona,it is the slowing economy &amp; unemployment. We'll get a vaccine for corona bt not for the economy. Appropriate reforms, effective implementation &amp; self reliance are the ways to improve the economic condition of the nation.#corona",0,0,0,0,https://t.co/MrsnNnJK49,https://twitter.com/i/web/status/1281260022823915520,,,,,,,,,"the biggest problem in india right now is not corona,it is the slowing economy &amp; unemployment. we'll get a vaccines for corona bt not for the economy. appropriate reforms, effective implementation &amp; self reliance are the ways to improve the economic condition of the nation."
